qbuy=222, qsell=448, result=3.72, curtime=23.06.01 07:47:04
time     oper price  orderid     q   qd  qr  canceltime orders   operations   status
13:10:37 b    5.324  36321057425 2   2   0   None       None         13:11:38     executed
13:10:38 s    5.33   36321058439 2   2   0   None       13:17:48     13:18:20     executed
16:01:04 s    5.33   36328275418 2   2   0   None       18:45:11     None         executed
19:06:04 s    5.33   36334805292 2   2   0   None       19:17:41     19:18:00     executed
13:15:56 b    5.33   36321307263 2   2   0   None       None         13:16:26     executed
13:15:57 s    5.33   36321308259 2   2   0   None       13:20:52     13:21:05     executed
16:01:06 s    5.33   36328275955 2   2   0   None       18:45:11     None         executed
19:06:06 s    5.33   36334805682 2   2   0   None       19:21:16     19:22:01     executed
13:21:12 b    5.336  36321544291 2   2   0   None       None         13:22:07     executed
13:21:14 s    5.34   36321545747 2   2   0   None       13:22:18     13:23:02     executed
16:01:08 s    5.34   36328277998 2   2   0   None       18:45:11     None         executed
19:06:07 s    5.34   36334806393 2   2   0   None       23:50:11     None         executed
13:21:47 b    5.336  36321571886 2   2   0   None       None         13:22:07     executed
13:21:48 s    5.34   36321572849 2   2   0   None       13:26:53     13:27:46     executed
16:01:10 s    5.34   36328278595 2   2   0   None       18:45:11     None         executed
19:06:09 s    5.34   36334806987 2   2   0   None       23:50:11     None         executed
13:26:59 b    5.344  36321845132 2   2   0   None       None         13:27:46     executed
13:27:01 s    5.35   36321846201 2   2   0   None       13:54:18     13:55:00     executed
16:01:11 s    5.35   36328279173 2   2   0   None       18:45:11     None         executed
19:06:10 s    5.35   36334807574 2   2   0   None       23:50:11     None         executed
13:33:37 b    5.34   36322198029 2   2   0   None       None         13:34:17     executed
13:33:38 s    5.344  36322198733 2   2   0   None       13:54:18     13:55:00     executed
16:01:12 s    5.344  36328279905 2   2   0   None       18:45:11     None         executed
19:06:12 s    5.344  36334808217 2   2   0   None       23:50:11     None         executed
13:35:14 b    5.336  36322283518 2   2   0   None       None         13:36:27     executed
13:35:16 s    5.34   36322284214 2   2   0   None       13:54:18     13:55:00     executed
16:01:14 s    5.34   36328282871 2   2   0   None       18:45:11     None         executed
19:06:13 s    5.34   36334808932 2   2   0   None       23:50:11     None         executed
13:35:23 b    5.32   36322287132 2   2   0   None       None         13:36:27     executed
13:35:24 s    5.31   36322287700 2   2   0   None       None         13:36:27     executed
13:35:31 b    5.32   36322292109 2   2   0   None       None         13:36:27     executed
13:35:32 s    5.316  36322292768 2   2   0   None       None         13:36:27     executed
13:35:39 b    5.32   36322297952 2   2   0   None       None         13:36:27     executed
13:35:41 s    5.324  36322299759 2   2   0   None       13:36:13     13:36:27     executed
13:35:47 b    5.32   36322306114 2   2   0   None       None         13:36:27     executed
13:35:49 s    5.32   36322307313 2   2   0   None       None         13:36:27     executed
13:35:56 b    5.32   36322313483 2   2   0   None       None         13:36:27     executed
13:35:57 s    5.324  36322314518 2   2   0   None       13:36:43     13:37:28     executed
16:01:15 s    5.324  36328283438 2   2   0   None       18:02:09     18:02:58     executed
19:06:14 s    5.324  36334809422 2   2   0   None       None         19:07:44     executed
13:36:49 b    5.324  36322353533 2   2   0   None       None         13:37:28     executed
13:36:51 s    5.33   36322354651 2   2   0   None       13:54:18     13:55:00     executed
16:01:17 s    5.33   36328284105 2   2   0   None       18:45:11     None         executed
19:06:16 s    5.33   36334809976 2   2   0   None       19:20:13     19:21:00     executed
13:37:56 b    5.324  36322409189 2   2   0   None       None         13:38:26     executed
13:37:58 s    5.324  36322409960 2   2   0   None       13:54:18     13:55:00     executed
16:01:18 s    5.324  36328285230 2   2   0   None       18:02:09     18:02:58     executed
19:06:17 s    5.324  36334810584 2   2   0   None       None         19:07:44     executed
13:38:38 b    5.32   36322436627 2   2   0   None       None         13:39:30     executed
13:38:40 s    5.32   36322437494 2   2   0   None       13:41:27     13:42:17     executed
16:01:19 s    5.32   36328287013 2   2   0   None       17:44:05     17:44:53     executed
19:06:19 s    5.324  36334811124 2   2   0   None       None         19:07:44     executed
13:38:47 b    5.32   36322441531 2   2   0   None       None         13:39:30     executed
13:38:48 s    5.324  36322442079 2   2   0   None       13:54:18     13:55:00     executed
16:01:21 s    5.324  36328287765 2   2   0   None       18:02:09     18:02:58     executed
19:06:20 s    5.324  36334811579 2   2   0   None       None         19:07:44     executed
13:38:55 b    5.32   36322447070 2   2   0   None       None         13:39:30     executed
13:38:56 s    5.32   36322447990 2   2   0   None       13:41:27     13:42:17     executed
16:01:22 s    5.32   36328289017 2   2   0   None       17:44:05     17:44:53     executed
19:06:22 s    5.324  36334812172 2   2   0   None       None         19:07:44     executed
13:40:52 b    5.32   36322518422 2   2   0   None       None         13:41:21     executed
13:40:53 s    5.324  36322519105 2   2   0   None       13:54:18     13:55:00     executed
16:01:24 s    5.324  36328289635 2   2   0   None       18:02:09     18:02:58     executed
19:06:23 s    5.324  36334812588 2   2   0   None       None         19:07:44     executed
13:46:33 b    5.316  36322726292 2   2   0   None       None         13:47:08     executed
13:46:34 s    5.32   36322727323 2   2   0   None       13:54:18     13:55:00     executed
16:01:25 s    5.32   36328290285 2   2   0   None       17:44:05     17:44:53     executed
19:06:24 s    5.324  36334813119 2   2   0   None       None         19:07:44     executed
13:52:23 b    5.31   36323004347 2   2   0   None       None         13:53:00     executed
13:52:25 s    5.316  36323005206 2   2   0   None       13:52:49     13:53:00     executed
13:52:31 b    5.31   36323010851 2   2   0   None       None         13:53:00     executed
13:52:33 s    5.32   36323011725 2   2   0   None       13:54:18     13:55:00     executed
16:01:27 s    5.32   36328292373 2   2   0   None       17:29:00     17:29:00     executed
19:06:26 s    5.324  36334813567 2   2   0   None       None         19:07:44     executed
13:54:24 b    5.324  36323095901 2   2   0   None       None         13:55:00     executed
13:54:26 s    5.324  36323096748 2   2   0   None       13:54:39     13:55:00     executed
13:54:38 b    5.324  36323102778 2   2   0   None       None         13:55:00     executed
13:54:39 s    5.336  36323103572 2   2   0   None       13:59:11     13:59:51     executed
16:01:28 s    5.336  36328296927 2   2   0   None       18:45:11     None         executed
19:06:27 s    5.336  36334814091 2   2   0   None       23:50:11     None         executed
13:54:51 b    5.324  36323117485 2   2   0   None       None         13:55:00     executed
13:54:53 s    5.33   36323118166 2   2   0   None       13:57:08     13:58:00     executed
16:01:29 s    5.33   36328298062 2   2   0   None       18:45:11     None         executed
19:06:29 s    5.33   36334814548 2   2   0   None       19:20:13     19:21:00     executed
13:55:24 b    5.324  36323143551 2   2   0   None       None         13:56:02     executed
13:55:25 s    5.324  36323144263 2   2   0   None       None         13:56:02     executed
13:55:48 b    5.324  36323156025 2   2   0   None       None         13:56:02     executed
13:55:49 s    5.33   36323156850 2   2   0   None       13:57:08     13:58:00     executed
16:01:31 s    5.33   36328299460 2   2   0   None       18:45:11     None         executed
19:06:30 s    5.33   36334815214 2   2   0   None       19:20:13     19:21:00     executed
13:57:07 b    5.33   36323204885 2   2   0   None       None         13:58:00     executed
13:57:08 s    5.336  36323206566 2   2   0   None       13:59:11     13:59:51     executed
16:01:32 s    5.336  36328300884 2   2   0   None       18:45:11     None         executed
19:06:31 s    5.336  36334815701 2   2   0   None       23:50:11     None         executed
14:00:24 b    5.336  36323363033 2   2   0   None       None         14:00:48     executed
14:00:26 s    5.34   36323363894 2   2   0   None       18:45:11     None         executed
16:01:34 s    5.34   36328301912 2   2   0   None       18:45:11     None         executed
19:06:33 s    5.34   36334816041 2   2   0   None       23:50:11     None         executed
14:01:50 b    5.336  36323408378 2   2   0   None       None         14:02:43     executed
14:01:52 s    5.336  36323409023 2   2   0   None       18:45:11     None         executed
16:01:35 s    5.336  36328302901 2   2   0   None       18:45:11     None         executed
19:06:34 s    5.336  36334816524 2   2   0   None       23:50:11     None         executed
14:08:48 b    5.33   36323765572 2   2   0   None       None         14:09:29     executed
14:08:50 s    5.33   36323766411 2   2   0   None       18:45:11     None         executed
16:01:37 s    5.33   36328303700 2   2   0   None       18:45:11     None         executed
19:06:36 s    5.33   36334816995 2   2   0   None       19:20:13     19:21:00     executed
14:10:37 b    5.324  36323875071 2   2   0   None       None         14:11:26     executed
14:10:38 s    5.324  36323878272 2   2   0   None       14:11:16     14:11:26     executed
14:14:05 b    5.324  36324041795 2   2   0   None       None         14:14:30     executed
14:14:06 s    5.33   36324042523 2   2   0   None       18:45:11     None         executed
16:01:38 s    5.33   36328304692 2   2   0   None       18:45:11     None         executed
19:06:37 s    5.33   36334817339 2   2   0   None       19:20:13     19:21:00     executed
14:17:46 b    5.33   36324241135 2   2   0   None       None         14:18:25     executed
14:17:48 s    5.336  36324243998 2   2   0   None       18:45:11     None         executed
16:01:40 s    5.336  36328305429 2   2   0   None       18:45:11     None         executed
19:06:38 s    5.336  36334817814 2   2   0   None       23:50:11     None         executed
14:18:16 b    5.33   36324264491 2   2   0   None       None         14:18:25     executed
14:18:17 s    5.33   36324265728 2   2   0   None       18:45:11     None         executed
16:01:41 s    5.33   36328306636 2   2   0   None       18:45:11     None         executed
19:06:40 s    5.33   36334818245 2   2   0   None       19:20:13     19:21:00     executed
14:20:22 b    5.32   36324347198 2   2   0   None       None         14:21:14     executed
14:20:23 s    5.324  36324347805 2   2   0   None       14:21:30     14:22:11     executed
16:01:43 s    5.324  36328307496 2   2   0   None       18:02:09     18:02:58     executed
19:06:41 s    5.324  36334818564 2   2   0   None       None         19:07:44     executed
14:22:10 b    5.324  36324409536 2   2   0   None       None         14:23:16     executed
