qbuy=2344, qsell=1728, result=-1.036
time     oper price  sellorderid q   qd  qr  canceltime
19:44:04 s    5.182  36069864320 2   0   2   23:49:32
19:44:04 s    5.182  36069864255 40  0   40  23:49:34
19:44:03 b    5.18   36069864178 2   2   0   03:00:00
19:44:02 b    5.18   36069864140 40  40  0   03:00:00
19:27:09 s    5.186  36069648334 2   0   2   23:49:32
19:27:08 b    5.18   36069648216 2   2   0   03:00:00
19:25:56 s    5.186  36069634579 2   0   2   19:26:49
19:25:54 b    5.18   36069634441 2   2   0   03:00:00
19:14:58 s    5.186  36069498499 40  0   40  23:49:34
19:14:57 b    5.182  36069498290 40  40  0   03:00:00
19:05:40 s    5.18   36069242812 40  40  0   03:00:00
19:05:39 b    5.176  36069233738 40  40  0   03:00:00
19:05:37 s    5.198  36069225458 475 0   475 23:49:33
18:31:12 s    5.18   36068565549 2   0   2   18:39:04
18:31:11 b    5.176  36068564897 2   2   0   03:00:00
18:26:37 s    5.178  36068390306 40  0   40  18:39:38
18:26:36 b    5.174  36068389325 40  40  0   03:00:00
17:45:18 s    5.176  36067152124 2   0   2   18:39:04
17:45:16 b    5.17   36067151343 2   2   0   03:00:00
17:28:15 s    5.17   36066624603 2   2   0   03:00:00
17:28:14 b    5.17   36066623984 2   2   0   03:00:00
16:42:58 s    5.176  36065085552 2   0   2   18:39:04
16:42:57 b    5.17   36065085025 2   2   0   03:00:00
16:40:42 s    5.17   36065006697 2   2   0   03:00:00
16:40:40 b    5.17   36065006100 2   2   0   03:00:00
16:36:12 s    5.174  36064819961 40  40  0   03:00:00
16:36:10 b    5.172  36064819071 40  40  0   03:00:00
16:31:00 s    5.178  36064621530 40  0   40  18:39:38
16:30:58 b    5.174  36064620780 40  40  0   03:00:00
16:29:29 s    5.174  36064521210 40  40  0   03:00:00
16:29:27 b    5.172  36064520519 40  40  0   03:00:00
16:25:19 s    5.176  36064387549 2   2   0   03:00:00
16:25:18 b    5.176  36064387066 2   2   0   03:00:00
16:01:05 s    5.18   36063534022 2   0   2   18:39:03
16:01:04 b    5.176  36063533245 2   2   0   03:00:00
16:01:02 s    5.188  36063532407 20  0   20  18:39:03
15:58:39 s    5.18   36063430147 2   0   2   16:00:06
15:58:38 b    5.176  36063429504 2   2   0   03:00:00
15:52:52 s    5.176  36063242042 2   0   2   16:00:06
15:52:51 b    5.176  36063241499 2   2   0   03:00:00
15:20:10 s    5.18   36062242899 2   0   2   16:00:06
15:20:09 b    5.176  36062242115 2   2   0   03:00:00
15:17:54 s    5.176  36062167104 2   0   2   16:00:06
15:17:53 b    5.176  36062166674 2   2   0   03:00:00
15:16:24 s    5.18   36062127770 2   0   2   16:00:05
15:16:22 b    5.176  36062126350 2   2   0   03:00:00
15:14:11 s    5.176  36062074993 2   0   2   16:00:05
15:14:09 b    5.176  36062074611 2   2   0   03:00:00
15:14:03 s    5.18   36062072486 2   0   2   16:00:05
15:14:01 b    5.176  36062072040 2   2   0   03:00:00
15:13:55 s    5.176  36062069935 2   0   2   16:00:05
15:13:53 b    5.176  36062069420 2   2   0   03:00:00
